,Pin,500keV,1000keV,1500keV,2000keV,2500keV
0,0.0,5.982581056008885e-12,4.089116827694084e-09,1.7977027393686e-08,2.684301751884262e-08,3.295756953947897e-08
1,1.0,5.401101679406817e-12,4.324429760246757e-09,1.9043551940100706e-08,2.9385775733666945e-08,3.4545794997913647e-08
2,2.0,5.26946594937281e-12,4.227020834623941e-09,1.7622777178683152e-08,2.722031990482711e-08,3.288619397825216e-08
3,3.0,5.294264944183671e-12,4.386574387727713e-09,1.769573074143964e-08,2.7795848281757202e-08,3.282383710845473e-08
4,4.0,5.301932774745855e-12,4.265562437839913e-09,1.7801149517238862e-08,2.787868673161335e-08,3.3356658987317964e-08
5,5.0,5.859983642387686e-12,4.4166015785447575e-09,1.74484956379416e-08,2.645907539601959e-08,3.11888513764497e-08
6,6.0,6.067750541937675e-12,4.341107360779077e-09,1.8705400591442128e-08,2.8366042209809208e-08,3.423072856295575e-08
7,7.0,3.744364433604534e-12,3.2808691282250517e-09,1.5682381875433095e-08,2.381842805364528e-08,2.757670603643723e-08
8,8.0,3.620547720855459e-12,3.593024095677188e-09,1.5066444909378192e-08,2.33369948146189e-08,2.8581189507440968e-08
9,9.0,3.3526648350801925e-12,3.3054558614766907e-09,1.3708210247497775e-08,2.259107465602465e-08,2.748021077479511e-08
10,10.0,3.2937802631369382e-12,3.4871199051361404e-09,1.3859281797145392e-08,2.3303019720885816e-08,2.682663666504007e-08
11,11.0,3.1211826417931285e-12,3.3212766253604374e-09,1.4042248985711147e-08,2.212728670860011e-08,2.7006847348791408e-08
12,12.0,3.3359361194503247e-12,3.525150074758934e-09,1.3805941466196137e-08,2.318167304421297e-08,2.7552602830222742e-08
13,13.0,3.615744029021725e-12,3.4127903402011087e-09,1.5074891651601647e-08,2.4777440076988587e-08,2.708336813366013e-08
14,14.0,3.752127856120788e-12,3.1686064298412246e-09,1.404676840407699e-08,2.240685351450534e-08,2.5199812410170123e-08
15,15.0,2.000408561083599e-12,2.485371535383993e-09,1.0608142558270549e-08,1.6388264040405608e-08,2.1370972758143438e-08
16,16.0,2.189843157980793e-12,2.6741976963765327e-09,1.3223113763604622e-08,2.1733143302868624e-08,2.481111622192761e-08
17,17.0,1.9747853936707065e-12,2.44734711021269e-09,1.2604807467260164e-08,2.0100914365077697e-08,2.446946902664268e-08
18,18.0,2.1329622950069762e-12,2.405311881032514e-09,1.1511319639299161e-08,1.8859430926538228e-08,2.2474628009195266e-08
19,19.0,1.7025228260275347e-12,2.72298333578851e-09,1.2051664845072585e-08,1.91160182341996e-08,2.3434104862019782e-08
20,20.0,1.8822574182259278e-12,2.579602135864409e-09,1.1980590976572148e-08,1.953508813296406e-08,2.4471632666470604e-08
21,21.0,2.2552178477933444e-12,2.5439364484855852e-09,1.2399737471744486e-08,1.8155283809297114e-08,2.2353515523633135e-08
22,22.0,2.0605750463157917e-12,3.0103548489270933e-09,1.2120961762618606e-08,1.998303792619547e-08,2.4823938566561913e-08
23,23.0,2.1340015418625373e-12,2.344200320010539e-09,1.0505620455323057e-08,1.705054150891618e-08,1.977379779390301e-08
24,24.0,1.2491236718831814e-12,1.711892794328218e-09,8.395302901171113e-09,1.370145507086886e-08,1.6451667652039134e-08
25,25.0,1.2312546878333414e-12,1.729778198159441e-09,1.005003961670291e-08,1.563785184898104e-08,1.9171175932660368e-08
26,26.0,1.1820551852811855e-12,1.9231618333614113e-09,9.843709834631752e-09,1.5643911847773058e-08,1.951627695699595e-08
27,27.0,1.0954784791007439e-12,2.0591699237888442e-09,9.047651983637702e-09,1.6805997904728266e-08,2.0022788863220748e-08
28,28.0,1.0489296707439405e-12,1.946981315938497e-09,9.267616214873704e-09,1.570153412465658e-08,2.016090350413181e-08
29,29.0,9.273581415336327e-13,1.950742033918721e-09,9.70063246649273e-09,1.6228571680215415e-08,2.008217388982932e-08
30,30.0,8.997850686395986e-13,1.973171617564464e-09,1.063530251270485e-08,1.5978071006604973e-08,1.9794988749982952e-08
31,31.0,1.3618275774903598e-12,2.0569265722268853e-09,1.0803484261288698e-08,1.595691768280222e-08,1.9706048024850557e-08
32,32.0,1.3617479979768935e-12,1.7624830878808251e-09,1.0002601183549827e-08,1.6175019364367822e-08,1.828977631721206e-08
33,33.0,1.4064449206552803e-12,1.766358054172809e-09,8.147761058645217e-09,1.314779140138474e-08,1.6222775000468462e-08
34,34.0,6.659006501637287e-13,1.2118193416231985e-09,5.741998145169586e-09,1.087058369438486e-08,1.3152043437181552e-08
35,35.0,8.167034666000944e-13,1.7845368542275796e-09,8.249184447690391e-09,1.3757508129228187e-08,1.6773243222805494e-08
36,36.0,6.669975899162379e-13,1.5777378415641362e-09,8.61452517628993e-09,1.4772918121695377e-08,1.588501116016707e-08
37,37.0,4.922840488198463e-13,1.5531203068865034e-09,7.471802779505843e-09,1.3606346803412695e-08,1.7496195185604324e-08
38,38.0,4.409082836129257e-13,1.3569414071426125e-09,7.554313582281899e-09,1.3409292667013331e-08,1.579239963252761e-08
39,39.0,6.644468898445692e-13,1.3446394013445246e-09,7.397456062855067e-09,1.3141002775652816e-08,1.741445709685933e-08
40,40.0,7.774530573341206e-13,1.5651994707627249e-09,8.277492910922971e-09,1.403736396461633e-08,1.7362933663857394e-08
41,41.0,8.278363769288857e-13,1.5755512432167188e-09,9.952168578118594e-09,1.6625510020222937e-08,1.896275442506975e-08
42,42.0,5.937249030815123e-13,1.533452730887342e-09,7.288422167658678e-09,1.494348921289973e-08,1.832894740337231e-08
43,43.0,6.44102843487862e-13,1.3729103280581215e-09,7.285715867645254e-09,1.3098268548425954e-08,1.4912858003217624e-08
44,44.0,6.89444871766626e-13,1.3654898075655336e-09,6.376140983184478e-09,1.059304075585043e-08,1.330777734285988e-08
45,45.0,4.373062651644163e-13,8.583987978503e-10,4.2618152504320185e-09,7.607972146035702e-09,9.805747282715857e-09
46,46.0,2.7626796801117467e-13,1.2555654207773307e-09,6.303319731017683e-09,1.0591670738811112e-08,1.4328146972647753e-08
47,47.0,3.62706847112762e-13,1.3280801306737241e-09,7.288525335123345e-09,1.2746058768691073e-08,1.5014421917878022e-08
48,48.0,3.5056542333867587e-13,1.091421734750889e-09,7.395029609586256e-09,1.0651734047992494e-08,1.3787541745701253e-08
49,49.0,4.940094804319454e-13,1.0930817422525468e-09,6.360920782506334e-09,1.1193874554558587e-08,1.2558108186016443e-08
50,50.0,4.623560249127391e-13,1.4265959570824635e-09,7.554623012185803e-09,1.2656130173251377e-08,1.4781733103061887e-08
51,51.0,2.7754665186315834e-13,1.0242052559409886e-09,6.8053866344614754e-09,1.0812609284179914e-08,1.345202941574434e-08
52,52.0,4.527013172054083e-13,1.1421963257660943e-09,6.731053952864761e-09,1.1941086265136352e-08,1.4496298014172562e-08
53,53.0,2.151746852262297e-13,1.153805305825759e-09,7.26773405488725e-09,1.226891253825071e-08,1.582814598558122e-08
54,54.0,5.994939551866816e-13,1.0541706084592735e-09,6.581327888106362e-09,1.0670072202184419e-08,1.4103621478268715e-08
55,55.0,4.4514455699314647e-13,1.0181143455421426e-09,6.222356427236812e-09,9.907875398072462e-09,1.2683076555130554e-08
56,56.0,5.139963071906879e-13,9.483028539640286e-10,4.844179404470962e-09,8.730485656000078e-09,1.0060716054568009e-08
57,57.0,1.9614661004993696e-13,6.236600312438747e-10,3.5838752015074613e-09,6.311265807972927e-09,7.948089897158499e-09
58,58.0,2.5086916326528726e-13,8.714633143786016e-10,4.326896304048343e-09,7.625948155532709e-09,1.0364074136580254e-08
59,59.0,1.188521875e-13,8.700873908326518e-10,5.272667787139157e-09,7.681666447442906e-09,1.084409998119048e-08
60,60.0,2.0996643525406815e-13,9.459259613901368e-10,4.890670946370289e-09,8.908240013178843e-09,1.1734825495425661e-08
61,61.0,1.9706304920039232e-13,7.823225958858837e-10,5.127300248505528e-09,9.17369208634314e-09,1.0913732270308595e-08
62,62.0,5.229779619255152e-13,1.2179139906665992e-09,5.265364327045055e-09,9.27616791314474e-09,1.1512263692568396e-08
63,63.0,1.322975e-13,9.068518579262512e-10,5.336904003326456e-09,1.1430800059107637e-08,1.3755916199629548e-08
64,64.0,0.0,9.036940284931185e-10,4.904115925772776e-09,9.508374247059228e-09,1.0964578798555136e-08
65,65.0,0.0,1.0673575484323213e-09,5.8119765486591015e-09,1.0061154192396112e-08,1.2422089174333044e-08
66,66.0,2.339149403404005e-13,1.090849687300684e-09,6.750747999565639e-09,1.1527298663297363e-08,1.44978110095954e-08
67,67.0,1.7967765553059918e-13,1.079068508689408e-09,6.046519938863018e-09,9.547917097093584e-09,1.2101275427888517e-08
68,68.0,3.3303035223412567e-13,7.098513501395452e-10,4.8231372203790795e-09,8.223718720230296e-09,9.506365962387295e-09
69,69.0,2.610220606938189e-13,7.083295682833261e-10,3.5438272122840383e-09,6.361586766864138e-09,6.943961893735654e-09
70,70.0,0.0,6.607184730593476e-10,3.2498364967312264e-09,6.470551273998695e-09,8.231694390156381e-09
71,71.0,1.1625125e-13,7.010501342601725e-10,4.611564538012738e-09,7.866465886268536e-09,9.90095107178782e-09
72,72.0,0.0,9.542832884988658e-10,5.518752447466792e-09,9.848398253752446e-09,1.2613524619885811e-08
73,73.0,0.0,7.442738279488828e-10,4.996121137956197e-09,8.443346098297291e-09,1.2462028438163993e-08
74,74.0,1.275e-13,5.350835003268275e-10,3.6964118272266976e-09,7.242823826227051e-09,1.1469589305399015e-08
75,75.0,1.4830625e-13,6.522320557924367e-10,5.2971717165366635e-09,9.87591588731067e-09,1.1557961442826678e-08
76,76.0,0.0,6.472639603551743e-10,2.726548052356471e-09,7.311496829281442e-09,9.666331069300346e-09
77,77.0,1.83410625e-13,7.920230859590566e-10,4.724067983506215e-09,8.109473936040589e-09,1.1296016710781384e-08
78,78.0,0.0,8.344151370694802e-10,4.769342755126523e-09,7.857943192380695e-09,1.1096390190550124e-08
79,79.0,0.0,4.698466280826516e-10,4.251083741527678e-09,7.778355412418831e-09,1.0754721709448548e-08
80,80.0,0.0,8.967782033801011e-10,4.513667129072426e-09,8.552428520616031e-09,9.612640932580586e-09
81,81.0,1.9216353916514094e-13,5.279645076245402e-10,3.371931689199959e-09,6.33036053433048e-09,7.3606331078395945e-09
82,82.0,1.384475e-13,4.669862714968305e-10,2.351332286619678e-09,6.0848365335142536e-09,7.48011955121732e-09
83,83.0,0.0,6.328464032230889e-10,3.3916247039354972e-09,6.845050391059921e-09,9.442882098511122e-09
84,84.0,3.50421875e-13,4.554838931342385e-10,3.6637440615280453e-09,6.5858792333821936e-09,8.054319170859403e-09
85,85.0,0.0,3.8440264408005375e-10,4.202835219785819e-09,6.572688656552562e-09,9.979435010498533e-09
86,86.0,3.061822593647565e-13,3.9328908832760145e-10,4.020974232479284e-09,6.411516969051073e-09,9.101779588201991e-09
87,87.0,0.0,6.521032678459017e-10,4.359344785614509e-09,6.798975262014047e-09,8.567954388446058e-09
88,88.0,0.0,6.283661492156758e-10,2.668817792676391e-09,6.723314508501023e-09,8.571255973838084e-09
89,89.0,5.03903125e-13,7.551220796878917e-10,3.6526949519757383e-09,8.028379782387127e-09,1.0245403606792368e-08
90,90.0,1.076753125e-13,6.602965795981916e-10,4.225228975052498e-09,8.105089736330503e-09,9.863091071667848e-09
91,91.0,0.0,4.2950506273282604e-10,3.1598158808705197e-09,6.914002584381089e-09,8.83360401256551e-09
92,92.0,0.0,4.216471653536368e-10,2.754273021546656e-09,4.927347792171912e-09,6.754997204085655e-09
93,93.0,0.0,3.46533408053198e-10,2.1505041901666403e-09,5.6881877239977144e-09,6.919027098383949e-09
94,94.0,0.0,6.67766664219229e-10,3.2675402134798876e-09,6.1111349829504346e-09,8.800560244906953e-09
95,95.0,1.46991875e-13,5.115751642413928e-10,2.881292531378479e-09,5.432994572048637e-09,7.340157475638699e-09
96,96.0,0.0,4.0460122095816987e-10,3.904032516932447e-09,6.62009547245894e-09,9.957538419455893e-09
97,97.0,0.0,2.481079005633002e-10,3.312005385777131e-09,5.184850666731602e-09,5.928691238996645e-09
98,98.0,0.0,5.051964951554633e-10,3.983551123637707e-09,4.8118690211175024e-09,6.811301557793407e-09
99,99.0,0.0,5.367848057715628e-10,2.420539737163316e-09,6.411227055827376e-09,7.314928607291762e-09
100,100.0,0.0,3.6710110706114654e-10,2.024909966092047e-09,3.6962045084236387e-09,4.817019508455063e-09
101,101.0,0.0,4.890006578279993e-10,3.5607343610510984e-09,5.795612597400776e-09,7.260853371964674e-09
102,102.0,0.0,3.0796089498906255e-10,3.2545494032073638e-09,5.860723029439992e-09,6.7950299762991656e-09
103,103.0,0.0,2.5893937760469744e-10,2.585861894832024e-09,5.407193232792198e-09,6.699791829152765e-09
104,104.0,0.0,4.3768551474436644e-10,2.23952445112306e-09,5.020694706016462e-09,6.099168048468743e-09
105,105.0,0.0,4.818860891759923e-10,2.7285966805428215e-09,3.1086743586788744e-09,3.4712385761970305e-09
106,106.0,0.0,5.986531391121747e-10,3.9270533262173e-09,6.791961282229254e-09,7.816206349817492e-09
107,107.0,0.0,4.847399259569941e-10,3.018324186404255e-09,4.400729495309682e-09,6.377185404202116e-09
108,108.0,0.0,3.1409293119366766e-10,2.7781908348792598e-09,5.290297492613583e-09,9.210601039836998e-09
109,109.0,0.0,4.727306381164263e-10,1.672055267297443e-09,4.042655298009056e-09,6.731080582275402e-09
110,110.0,0.0,3.864342986177769e-10,2.6811237524997587e-09,5.7356636815410704e-09,6.286287293056244e-09
111,111.0,0.0,5.300280837931595e-10,3.1165744205713365e-09,6.047393771810762e-09,7.838747786951671e-09
112,112.0,0.0,1.3554564450017842e-10,1.6167355886427355e-09,2.874946039225979e-09,6.879407080884086e-09
113,113.0,0.0,7.740487535620638e-10,2.749025841038882e-09,5.677431917528525e-09,6.819130896383772e-09
114,114.0,0.0,6.355222161950819e-10,1.8675028776364696e-09,3.3443154759479263e-09,5.323679552589817e-09
115,115.0,0.0,5.4715e-11,9.211604316538609e-10,3.1507349268151422e-09,7.060986280779109e-09
116,116.0,0.0,8.525576376154549e-11,1.7620413215486624e-09,3.8759042991249425e-09,4.879343573535425e-09
117,117.0,0.0,0.0,1.925717035667567e-09,5.649457516080117e-09,7.344354546090374e-09
118,118.0,0.0,9.221723046875001e-11,1.9162819789501002e-09,4.15728575343033e-09,8.213615668723717e-09
119,119.0,0.0,0.0,9.331037339489142e-10,2.889149319237089e-09,4.0201208030983855e-09
120,120.0,0.0,1.1253177121401961e-10,2.0457268059813946e-09,4.503795684517509e-09,5.662370971038138e-09
121,121.0,0.0,2.936628289990788e-11,1.7527898432736068e-09,4.082095100006039e-09,4.486217748567417e-09
122,122.0,0.0,2.1135463729188713e-10,2.679047804463129e-09,3.759581394289901e-09,5.3133685512064605e-09
123,123.0,0.0,5.162728592256719e-10,1.1624878854407565e-09,2.5956962412450556e-09,4.228055260978327e-09
124,124.0,0.0,2.6546656631403964e-11,1.9110567127437898e-09,4.05444853006002e-09,5.606813146816356e-09
125,125.0,0.0,1.676359897130396e-10,1.628285919916204e-09,2.4663627313844205e-09,3.2953949910656053e-09
126,126.0,0.0,4.2606107241761074e-10,2.609701442782793e-09,4.190713523500037e-09,6.789833736249968e-09
