,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
0,1.0,14.0,20.0,0.5,0,0,600.0,34730.17210479851,20725.80165749592,3188.888650234865,414.57142712536313,2.1123825489455467e+54,6.67656642541217e+55,101641.64931353262,1472.1109700696304
1,1.0,14.0,20.0,0.5,0,1,600.0,34843.31880543627,24171.912497839538,2762.0132533803803,216.50340417332868,1.9200654027220322e+34,6.068740305736695e+35,101641.64931353262,1472.1109700696304
2,1.0,14.0,20.0,0.5,0,2,600.0,276683.00399564503,20146.056735087892,1992.8847764841662,55.03734066975159,0.007240865711722934,0.0005615481009154715,101641.64931353262,1472.1109700696304
10,1.0,14.0,20.0,0.5,1,0,600.0,628594.1704445019,26988.60020201958,1884.5469542723451,12.077774314081083,0.0030034698568724076,0.00012825391945361553,101641.64931353262,1472.1109700696304
11,1.0,14.0,20.0,0.5,1,1,600.0,245062.65706777907,22427.515843759225,2218.3784059023546,15.62172188650848,0.00912732683293943,0.0008303748793534123,101641.64931353262,1472.1109700696304
12,1.0,14.0,20.0,0.5,1,2,600.0,128809.65177867349,18522.594743393594,3011.859277664913,21.438361662285825,0.023887857216665517,0.003616507925821069,101641.64931353262,1472.1109700696304
13,1.0,14.0,20.0,0.5,1,3,600.0,65248.95809272696,14849.781267475046,2948.797512705384,33.77878428165724,0.0477891779597701,0.01234131919155743,101641.64931353262,1472.1109700696304
20,1.0,14.0,20.0,0.5,2,0,600.0,401806.1423406462,22172.19074028822,1631.883327819184,10.861194517994035,0.0040727708463687996,0.00020796404303518776,101641.64931353262,1472.1109700696304
21,1.0,14.0,20.0,0.5,2,1,600.0,260769.69030589133,18810.92168649505,1566.6420977945418,10.460138541561905,0.006037741458693242,0.00041894469609510563,101641.64931353262,1472.1109700696304
30,1.0,14.0,20.0,0.5,3,0,600.0,108467.89315218771,11195.575514845179,1143.761785775367,15.345901606040126,0.010650341865914462,0.001042570646425229,101641.64931353262,1472.1109700696304
31,1.0,14.0,20.0,0.5,3,1,600.0,1444461.7451665003,32722.21113431483,1849.0137779823533,23.212303781147593,0.0012805146292572433,2.3279954243187142e-05,101641.64931353262,1472.1109700696304
40,1.0,14.0,20.0,1.0,0,0,600.0,36236.16684231977,40030.79152508878,6310.935634807467,919.9720488029856,2.0404791224020324e+36,6.449018474360367e+37,398955.14034532773,1226.4460531753555
41,1.0,14.0,20.0,1.0,0,1,600.0,74663.47819635853,56918.01034222132,5499.021301918305,446.24658893625383,7.942894913572326e+26,2.510507718140634e+28,398955.14034532773,1226.4460531753555
42,1.0,14.0,20.0,1.0,0,2,600.0,1130768.8655868236,84171.36114679488,4007.614509482133,132.44030508122313,0.0035636943852273783,0.00028986174793627155,398955.14034532773,1226.4460531753555
50,1.0,14.0,20.0,1.0,1,0,600.0,2524432.9334221794,85659.96804901319,3742.1848754836938,17.1414666017655,0.0014839988775351158,4.7967169105959904e-05,398955.14034532773,1226.4460531753555
51,1.0,14.0,20.0,1.0,1,1,600.0,947757.5242361262,81021.20660660317,4359.820006230261,25.760710309246384,0.004633695814840664,0.00039653191174037275,398955.14034532773,1226.4460531753555
52,1.0,14.0,20.0,1.0,1,2,600.0,575210.2243240521,70708.71636957907,5983.213193668824,35.24621940302065,0.010565373399684224,0.001356991753753755,398955.14034532773,1226.4460531753555
53,1.0,14.0,20.0,1.0,1,3,600.0,325082.92656851176,112116.19738023581,5884.443055313397,50.367957607311574,0.020962267226349505,0.010062058151449952,398955.14034532773,1226.4460531753555
60,1.0,14.0,20.0,1.0,2,0,600.0,1468029.2226693574,83864.18693659312,3248.09284653086,58.165788536002836,0.002219541231957767,0.0001295366336426929,398955.14034532773,1226.4460531753555
61,1.0,14.0,20.0,1.0,2,1,600.0,896450.1794682984,67573.74516394734,3098.14424836168,46.82819890346717,0.0034746901000929408,0.00025384351423233105,398955.14034532773,1226.4460531753555
70,1.0,14.0,20.0,1.0,3,0,600.0,365686.3044372134,35265.53045238076,2189.862460071966,50.277759001900876,0.006038869404022478,0.0005451150488977577,398955.14034532773,1226.4460531753555
71,1.0,14.0,20.0,1.0,3,1,600.0,5501325.980960203,124018.10895304498,3590.1493993711674,75.47303155701734,0.0006528250641075999,1.6165312144217627e-05,398955.14034532773,1226.4460531753555
80,1.0,14.0,40.0,0.5,0,0,600.0,1413.3560441065715,2558.530914290205,1564.3805226161937,256.6435859564227,2.1545541010151514e+71,6.809890800025364e+72,25815.18878685626,70.45524264044177
81,1.0,14.0,40.0,0.5,0,1,600.0,9989.371397997442,3905.869129234406,1322.8310495179185,100.39146688335457,8437321.184376702,251852538.34627837,25815.18878685626,70.45524264044177
82,1.0,14.0,40.0,0.5,0,2,600.0,94436.84359160782,7071.015274110069,1020.3056256927701,33.15623433928268,0.010860103851426025,0.0008318061594250751,25815.18878685626,70.45524264044177
90,1.0,14.0,40.0,0.5,1,0,600.0,192069.92279405575,5727.127020153514,974.3332765086992,4.665656717087026,0.00507687981042109,0.000138089854207172,25815.18878685626,70.45524264044177
91,1.0,14.0,40.0,0.5,1,1,600.0,69770.65518222189,4642.105646669848,1119.242588353321,5.635206606236677,0.016111134547998302,0.0010502175752968475,25815.18878685626,70.45524264044177
92,1.0,14.0,40.0,0.5,1,2,600.0,40123.72161579473,4449.169854296225,1525.060674960893,8.26216275200934,0.03847836746919029,0.004293297647817493,25815.18878685626,70.45524264044177
93,1.0,14.0,40.0,0.5,1,3,600.0,14937.774349059817,4277.430741541039,1492.0318297984154,8.901646486859757,0.110031006464677,0.040004272890957746,25815.18878685626,70.45524264044177
100,1.0,14.0,40.0,0.5,2,0,600.0,107125.11172383965,5097.172968663539,833.40356892076,4.734359823209676,0.007795885606352399,0.00034182479009461095,25815.18878685626,70.45524264044177
101,1.0,14.0,40.0,0.5,2,1,600.0,78281.43246127087,4619.185948499718,806.4900405874155,5.012169249691695,0.010335967267566293,0.0005719268473089647,25815.18878685626,70.45524264044177
110,1.0,14.0,40.0,0.5,3,0,600.0,25640.73636475697,2681.194357461813,576.8298370924888,6.950473758276763,0.022722849806920027,0.002192108161448255,25815.18878685626,70.45524264044177
111,1.0,14.0,40.0,0.5,3,1,600.0,388323.1827347584,9083.771377495079,951.1541653689466,8.451526903840602,0.00245025617513154,3.799581746320699e-05,25815.18878685626,70.45524264044177
120,1.0,14.0,40.0,1.0,0,0,600.0,45956.091817653265,17772.366546369023,3381.1935006405024,177.60049891477658,9.985664450027997e+34,3.156165094129968e+36,104900.3684403307,314.2635875023304
121,1.0,14.0,40.0,1.0,0,1,600.0,37524.191186475444,18659.572854869915,2883.775965122982,115.75403411741293,1.1968202309007725e+49,3.782785067153941e+50,104900.3684403307,314.2635875023304
122,1.0,14.0,40.0,1.0,0,2,600.0,321463.7799906989,17632.058062507374,2077.4821133710384,35.1198775085546,0.00648154426031558,0.0003643544098823491,104900.3684403307,314.2635875023304
130,1.0,14.0,40.0,1.0,1,0,600.0,766577.4113716149,23424.86917323243,1957.8911178962892,8.957114696203213,0.0025562392321633143,7.165644859092983e-05,104900.3684403307,314.2635875023304
131,1.0,14.0,40.0,1.0,1,1,600.0,271691.5845018374,20479.355549364875,2253.23679528064,11.807016310703393,0.008339486330677924,0.000616652313859179,104900.3684403307,314.2635875023304
132,1.0,14.0,40.0,1.0,1,2,600.0,156185.36384757518,16242.717849881,3077.961225996271,16.217381051930005,0.01992192201862706,0.002091743832732307,104900.3684403307,314.2635875023304
133,1.0,14.0,40.0,1.0,1,3,600.0,60564.02817771342,18207.916541803523,3006.712757799824,17.948671565866626,0.05570603162475234,0.02548455933486926,104900.3684403307,314.2635875023304
140,1.0,14.0,40.0,1.0,2,0,600.0,449823.1748462584,20599.68938899753,1680.3317636395418,9.66647537403539,0.0037426498830258437,0.00015617019497475958,104900.3684403307,314.2635875023304
141,1.0,14.0,40.0,1.0,2,1,600.0,301353.16434446786,18840.580121442123,1602.5978874332523,9.885754245215102,0.005337593600008941,0.00031526762207653133,104900.3684403307,314.2635875023304
150,1.0,14.0,40.0,1.0,3,0,600.0,109085.33791779852,10888.525751343275,1149.7721139732935,24.614122152899874,0.010635549852739857,0.0009922538401096882,104900.3684403307,314.2635875023304
151,1.0,14.0,40.0,1.0,3,1,600.0,1549983.442430942,37523.75643560593,1893.7115893019773,27.025189200168292,0.0012222243197424934,2.3445513445480943e-05,104900.3684403307,314.2635875023304
160,1.0,14.0,60.0,0.5,0,0,600.0,169.16980644434068,606.5457607912979,1086.9888989170881,140.25963343884072,3.0349970323034275e+38,9.495728123918513e+39,11898.962414885807,33.3013176534904
161,1.0,14.0,60.0,0.5,0,1,600.0,7282.310864286513,1865.323802810538,864.97118492896,60.270130332412386,0.1277601754702851,0.04277456398771868,11898.962414885807,33.3013176534904
162,1.0,14.0,60.0,0.5,0,2,600.0,43858.183584532715,1986.3847961823067,684.2474591640903,17.832981378723385,0.015632056079602275,0.0007914791301508278,11898.962414885807,33.3013176534904
170,1.0,14.0,60.0,0.5,1,0,600.0,89986.00868606665,2274.8899108680903,660.2145226998015,2.8146666517920527,0.007341070846116065,0.0001686558705116938,11898.962414885807,33.3013176534904
171,1.0,14.0,60.0,0.5,1,1,600.0,33282.64167824623,2185.392182411471,757.5061993316076,3.626025465928434,0.02285509243702321,0.0014605879843983243,11898.962414885807,33.3013176534904
172,1.0,14.0,60.0,0.5,1,2,600.0,19910.897287466443,1694.9925119046707,1029.1018804726882,4.774653431140701,0.05205924425902109,0.004430646430173153,11898.962414885807,33.3013176534904
173,1.0,14.0,60.0,0.5,1,3,600.0,7800.050131314476,1791.5180965556335,1006.5781438227999,5.30941797047525,0.1369412440193994,0.03689588334653046,11898.962414885807,33.3013176534904
180,1.0,14.0,60.0,0.5,2,0,600.0,49708.71378826923,2464.3027416623145,571.1820419232284,3.3886901524540045,0.011517708863933255,0.00055213281377441,11898.962414885807,33.3013176534904
181,1.0,14.0,60.0,0.5,2,1,600.0,36978.250751595864,2642.7563229892276,553.8034915598888,3.966264252884953,0.01505033489137513,0.001042746812783021,11898.962414885807,33.3013176534904
190,1.0,14.0,60.0,0.5,3,0,600.0,9880.662701845837,1140.7391717158932,388.75426154538815,4.599289385627915,0.03984215970072116,0.004374979014057944,11898.962414885807,33.3013176534904
191,1.0,14.0,60.0,0.5,3,1,600.0,183288.8842738715,4380.748122336886,651.5496113998431,6.0129645691291955,0.003556071117276252,5.572103274826395e-05,11898.962414885807,33.3013176534904
200,1.0,14.0,60.0,1.0,0,0,600.0,4651.1113813626625,4897.8616510957,2188.395422989806,311.73757059315267,4.2045685609110896e+61,1.328931639456997e+63,48582.62193676901,270.6725082973747
201,1.0,14.0,60.0,1.0,0,1,600.0,24329.002235309035,8492.646010863591,1903.7416721024738,90.90590887143638,610061870.4130012,19282201358.046295,48582.62193676901,270.6725082973747
202,1.0,14.0,60.0,1.0,0,2,600.0,167435.2135230664,7676.77702807202,1394.0215148983411,41.53449365987125,0.00834370101240209,0.00046318391594667337,48582.62193676901,270.6725082973747
210,1.0,14.0,60.0,1.0,1,0,600.0,353157.346419538,9654.505270086205,1323.7699179364895,5.630078627356721,0.003750937519441927,9.432944589609587e-05,48582.62193676901,270.6725082973747
211,1.0,14.0,60.0,1.0,1,1,600.0,128787.13722884719,8535.850772486401,1524.3979992501977,6.922921741953382,0.011887539989166477,0.0007736332383815713,48582.62193676901,270.6725082973747
212,1.0,14.0,60.0,1.0,1,2,600.0,80588.41186607273,6957.752446359046,2079.1539123018883,9.533717494747274,0.025991402420711424,0.002241137548312934,48582.62193676901,270.6725082973747
213,1.0,14.0,60.0,1.0,1,3,600.0,27213.252985259172,6675.0285734797735,2023.9571579806086,9.203089167662451,0.07989176490394505,0.025669289732134486,48582.62193676901,270.6725082973747
220,1.0,14.0,60.0,1.0,2,0,600.0,208532.67077348504,9631.909090782496,1140.9095498755912,6.328853537645174,0.005481803824701918,0.00023237974690636903,48582.62193676901,270.6725082973747
221,1.0,14.0,60.0,1.0,2,1,600.0,139625.95588580726,8858.796586007538,1094.739358462536,6.516242292521905,0.007870093946843891,0.00046946568373299553,48582.62193676901,270.6725082973747
230,1.0,14.0,60.0,1.0,3,0,600.0,46548.12338746349,5244.256354342507,781.7220248660686,9.998506943057064,0.01699470539453386,0.0018141827035658502,48582.62193676901,270.6725082973747
231,1.0,14.0,60.0,1.0,3,1,600.0,741311.9884956725,18961.71565020959,1304.950721228453,12.910083884726726,0.0017610561144235462,2.9079197604964784e-05,48582.62193676901,270.6725082973747
